doc,completion_M,completion_M_A,completion_M_D,completion_M_19
1893_Feval-Paul-fils_les-suites-de-lagardere_1-la-jeunesse-du-bossu.txt_chunk_12,"""\n\nLe résumé du roman suit :\n\n* Le prince de Mantoue","""<s> [/INST] Le retour du fils d’Antoine de Peyrolles dans la ville de Guastalla","""<s> [/INST] a. Pourtant","""<s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s>""""]"""
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_103,"""rières","""<s> [/INST] l’étonnement et le chagrin de la comédienne se réunissaient dans un doute malassuré. Isolée enfin par son malheur sur ses passions","""<s> [/INST] Le texte décrit en détail un château abandonné en Gascogne","""riques"
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_135,"""rielisation\n\nLa narration suit le déroulement d'une enquête policière sur la disparition et le meurtre de la veuve Lerouge dans le village de La Jonchère. Cette enquête suscite l'intérêt des autorités ainsi que des habitants. Les théories des auteurs varient sur la cause de ces deux évènements et des témoignages contradictoires ne font que décal""""]""","""<s> [/INST] Le premier épisode conclut le développement et révèle le thème de l'histoire. La seconde partie commence sur la fin de l'épisode et progresse de manière évidente vers le dénouement. Il ne reste donc plus qu'à décrire le dernier épisode qui mène à la conclusion.</s>""""]""",""" [INST] These sont les premières lignes d'un écrit. poursuit le résumé étant donné. 11.  Avec brio","""rel [/INST] Le soir"
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_49,"""ries of the disappeared and murdered wife of a redhead in La Jonchère village are causing interest in the authoritites and the residents. There are conflicting theories from witnesses","""riaient sans qu’elle pût répondre… — j’ai eu tort de vous inquiéter","""<s><s> [/INST] ","""<s> [/INST] des livres policiers "
1887_Pont-Jest-Rene-de_Le-Cas-du-Docteur-Plemen.txt_chunk_163,"""résumé: L'intrigue du roman s'allonge et se complexifie avec une soirée d'higher society à Paris",""" en cèles sont lourdement armée","""<s> [INST] Avec qui vous avez fait des projets pour cette histoire ? Ça m’est devenu impossible… Dans notre entreprise","""<s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s>""""]"""
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_68,""".[/INST]</s>\n\n""""Ce roman décrit la violence","""<s> [/INST] La famille de la Bambini vit ses affaires pénibles se déterminer pendant plusieurs années. Aux échevaux de la mère de Rodriguez","""cli. Ce qui t'est fait à ta place. Si tu avais été la","""<s> [/INST] La place est inaccessible. — Les autres voyageurs étaient morts. — On approche un déjeuner. — D’autres voyageurs qui se sont échappés se présent [/INST] entre-tôt. — Des Indiens affonchés sur les rives se sauvent rapidement à la vue de la chevauchée. — Doña Luisa propose de se faire attendre. — Le déjeun""""]"""
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_125,"""eux. Doña Luz","""es.[/INST]</s><s> [/INST] Cette page d\'un roman décrit les dangers et les épisodes dramatiques de la prairie","""<s> [/INST] Ce texte reconstitue une partie d'un roman. Il décrit à la fois le contexte historique et social d'une région","""<s><s> [/INST] ux et dangers"
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_120,""" 2: La saga du témoin d'enfant\n\nVoici un résumé du récit des trois premiers livres (et une partie du dernier livre) - les livres 1","""<s> [/INST] Des enquêtes sur l'étrange disparition et le meurtre de la veuve Lerouge","""<s><s> [/INST] . Et quelle fut la dernière","""<s> [/INST] L'enquête pour le meurtre de Mme Lerouge dans le village de La Jonchère fait partie de son héritage. Il s'agit de neuf pages [/INST] et passe par des affaires complexes et de la personne de Juliette. Le juge de paix de la ville est sur la piste de Paul"
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_42,"""riques","""<s> [/INST] Dans La Jonchère","""<s><s> [/INST] tation par la disparition et le meurtre de la veuve Lerouge","""<s><s><s> [/INST] ’avez une enquête sur la disparition et le meurtre de la veuve Lerouge. Des theoriques divergentent et une chasse aux coupables intense s’évite. Un enfant témoigne détaillé devant des autorités policières à propos d’un homme qu’il a suivi jusqu [/INST] ’à un bateau au bord de la Seine"
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_92,"""r3p3k\u2003\u2009\u2009</s>""""]""","""<s> [/INST] Albert et le père Tabaret enquiètent sur la disparition et le meurtre de la veuve Lerouge dans le village de La Jonchère. La police et la population sont impliqués dans l'enquête",""" [/INST] —\xa0Je te promets","""isant dans la dernière ! le poids du vergendier d’Auguste"
1876_Boisgobey-Fortune-du_L-Omnibus-du-diable.txt_chunk_161,""" ici résumé d'un roman\n\nLe roman s'intéresse à la société française du quartier du Temple de Paris comme une milieu de malfrats criminels. L'enquête sur la disparition du jeune homme Marcel de Colorado est perçue comme un prétexte pour un lourd complot financier","""<s> [/INST] en était une qui me frappait","""<s> [/INST] . 29","""<s><s><s><s><s><s><s> [/INST] ’est pas trop grand"
1887_Pont-Jest-Rene-de_Le-Cas-du-Docteur-Plemen.txt_chunk_39,"""ies et l'intimité du jeune couple était demeurée.\n\nQuand il n'y avait plus de mariage et d'enfants","""<s> [/INST] Dans le troisième livre de la pièce",""" [INST] ET SOUS TA CONNAÎSSANCE DE LA MORALE","""<s> [/INST] Le roman décrit les événements d'un jeune homme qui revient de l'Université à Paris"
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_15,"""s>récit de découverte d\'un monstre marin géant entraînant controverses globales","""<s> [/INST] \xa0C’était un drôle de cachalot !\xa0","""<s><s> [/INST] on de ce résumé","""<s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s> [/INST] éloigné. Aboard the Abraham-Lin"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_48,"""riouz","""<s> [/INST] Dans les décennies suivantes","""<s> [/INST] La comédienne était une fille de campagne au long de la robe blanche.  –\xa0Depuis ce moment-là","""<s> [INST] ALIEUR PATHON\nÀ trois heures du matin. –\xa0Sous la pluie et l’impétuosité"
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_164,"""e dans les abysses marins à bord des navires modernes. Les observations des navires sur les créatures géantes marines vont provoquer une controverse internationale et met</s>""""]""","""<s> [/INST] Le capitaine Nemo décide de s'arrêter près de Thémis pour s'en servir comme d'une étape pour son voyage. Il veut",""" 1. Les navires sur un monstre marin géant provoquent une controverse internationale et font entrer une équipe dans un expédition au bord de l’Abraham-Lin. Tous les bateaux qui entrent dans la zone sont presque tous mis en péril. Ils abandonnent l’expédition. 2. L’expédition déroute vers l’île Vanikoro","""<s> [/INST] Édité par : le petit marinceau</s>""""]"""
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_136,"""ri de l'aiguillage","""<s> [/INST] Je vous entendis bien que les personnages du roman décrit sont dans un contexte social et historique tumultueux. Ils se trouvent en guerre contre les peuples amérindiens de la région","""<s> [/INST] ","""<s><s><s><s> [/INST] ’elle"
1876_Boisgobey-Fortune-du_L-Omnibus-du-diable.txt_chunk_138,"""res du quartier du Temple","""<s> [/INST] Ceux qui ont lus le premier vol [/INST] ","""<s> [/INST] un compte partagé entre trois bons dames et une bonne bonne cherie par leur garde-devoir","""<s> [/INST] Cet extrait constitue le rés [/INST] umé de cette œuvre. Il reprendra le récit à un endroit particulier"
1876_Boisgobey-Fortune-du_L-Omnibus-du-diable.txt_chunk_156,"""\n\nEn 1840","""<s> [/INST] Dans le quartier du Temple","""<s><s> [/INST] onnales et pas longues. Donne une vingtaine de phrases maximum. Sois cohérent.  —\xa0Cet objet m’expliquera tout","""<s> [INST] Une lettre anonyme décrit une affaire criminelle à madame Dortis. Quelle est la nature de cette affaire ? 193. Madame Dortis avait oublié sa caisse de monnaie. Les lettres anonymes"
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_84,"""e pêcheurs d'un sous-marin mysterieux pour attraper un narval géant sur des collisions inexplicables et découvrent ensuite un sous-marin humanoïde. L'expédition s'arrête quand le sous-marin est capturé par les habitants d'un sous-marin humanoïde. Le personnage voyage sous-marin avec le capitaine Nemo dans le célèbre N""""]""","""e les pêcheurs et les naturalistes qui partagent cette expédition par des voyages sous-marins à travers les profondes océans. Le déterminisme du capitaine Nemo et la mystérieuse puissance de son navire le Nautilus sont le foyer d’une histoire remarquable","""<s> [/INST] une histoire d'exposition de gros navires aux dangers marins. Quid pro quo de la part de l'institut international pour la science maritime et le sauvetage des nageurs. Projet de prévention des accidents de dérive à Sault-X-Jours. Les affaires en cours mènent le profiteur vers des parties reculées du pays","""<s> [/INST] Cet extrait de littérature est une partie d’un roman. Continuez avec : "
1876_Boisgobey-Fortune-du_L-Omnibus-du-diable.txt_chunk_173,"""ries de vol et de fraude à la révélation de secrets politiques et de corruption impliquant de hauts fonctionnaires. Marcel de Colorado est arrêté pour des faits de vol","""<s> [/INST] [INST] Les aventures d’un pilote de marine et de police","""<s> [/INST] on","""<s> [/INST] L’action se déroule au cœur du quartier du Temple"
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_200,"""french: Des enquêtes sont menées après la disparition et le meurtre de la veuve Lerouge dans le village de La Jonchère","""<s> [/INST] Les enquêtes autour de la disparition de l'enfant d'une veuve laissent l'examen policière. Cette veuve","""<s> [/INST] Une enquête sur une certaine personne découvre un passé complexe et le fait se retourner","""e de la mort de madame Lerouge. L’enquête dure plusieurs jours mais finit sans solution. Des informations détaillées sur le meurtre sont données par un enfant qui a vu le coupable à bord d’une barque sur la Seine. Le père Tabaret aide l’enquête de la police sur le meurtre de la veuve Gerdy. Un homme passionné par toute forme d’enqu""""]"""
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_199,"""récupération sur les têtes de narvaux gigantesques","""<s> [/INST] Le livre présente un récit d’un voyage sous-marin mené par le capitaine Nemo","""<s> [/INST] Un groupe de personnes est kidnappé à bord d'un mystérieux sous-marin par des étrangers alors qu'ils naviguaient dans l'Océan Pacifique. Le capitaine Nemo","""<s> par rapport aux deux seuls personnes présentes ici-Bas.– c [/INST] ‘est vrai"
1887_Pont-Jest-Rene-de_Le-Cas-du-Docteur-Plemen.txt_chunk_150,"""relle entre deux couples. A Paris","""<s> [/INST] Le roman porte sur le village de Vermel dans le nord de la France et raconte l'histoire d'un mariage bref et tumultueux. Un homme débarque dans la ville","""<s> [/INST] Une femme charmante et un homme obsédé par les crimes étudient leurs journaux judiciaires mondiaux. Dans une ville de province","""<s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s>""""]"""
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_47,"""\n\nUn enfant témoigne de manière détaillée devant des autorités policières sur la disparition et le meurtre de la veuve Lerouge. Le père Tabaret mène une enquête minutieuse sur le meurtre et trouve des preuves clé. L'un des habitants est un homme passionné par la collecte de livres policiers qui devient son membre de l'ordre et rés""""]""","""<s> [/INST] le reste","""<s> [/INST] À la fin de la séance",""" [/INST] Cet homme vit en son fumoir et trouva cela curieux. Elle ne pou [/INST] vait pas sortir tant que ma cour ne l’attendait pas"
1876_Boisgobey-Fortune-du_L-Omnibus-du-diable.txt_chunk_48,"""rien de la haute société au cœur du milieu luxueux et dangereux des rues de Paris","""<s> [/INST] Le morceau du texte suit ce résumé : Le ciel était gris et les pluies tombaient avec plomb avec un froid glacial. La rue Chaney était la riche arterie des riches de la Paris bourgeoise. Les maisons sont surmontées de jardins pavés","""<s> [/INST] — ce matin","""�\xa0!…\xa0Il en rougirait peut-être autant que mo [/INST] 1"
1893_Feval-Paul-fils_les-suites-de-lagardere_1-la-jeunesse-du-bossu.txt_chunk_155,"""s>riel La histoire se déroule à l'époque contemporaine du XXe siècle","""s><s> [/INST] - Voyage d'Antoine de Peyrolles à Paris où il tente de faire respecter son héritage en négociant avec le régent.\n [/INST] - Révélation d'un testament de François-Charles Henri de Gonzague dans lequel il lègue la ducâne de Guastalla au régent","""s><s> [/INST] Un jeune homme","""s><s><s> [/INST] ."
1887_Pont-Jest-Rene-de_Le-Cas-du-Docteur-Plemen.txt_chunk_70,"""railles d’un journaliste obsédé par les meurtres","""<s> [INST] Que diable","""<s> [/INST] ","""relle un étrange coup"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_203,"""rielà l'ancien château abandonné dans le nord du Gascogne sous le règne de Louis XIII","""<s> [/INST] Un baron étrange et solitaire abandonne son château en délabre","""<s> [/INST] ¡. ¡. C'est ainsi que nous avons évolué",""" [/INST] Le tex [/INST] te décrit un château délabré en Gascogne au temps de Louis XIII"
1876_Boisgobey-Fortune-du_L-Omnibus-du-diable.txt_chunk_15,"""relativ2: Le quartier du Temple abrite une filiale du mont-de-piété de Paris","""<s> [/INST] madame de gondo et lui tenaient entre eux le papier et le crayon",""" [/INST] de la chevauche avec une femme",""" [/INST] — le bras gauche"
1876_Boisgobey-Fortune-du_L-Omnibus-du-diable.txt_chunk_23,"""riel\n\nCecile est arrêtée pour vol en raison de la dette des Colorado.\n\nLes deux mariés","""romme. \xa0–\xa0Le dame seule","""<s> [/INST] Â. Il était arrivé que le maître de la hôtel de Valmy n’eût eu moyen de lui payer qu’un petit salaire et il s’épuisait lentement. Ça.  Dès que il a été dit qu’il pourrait avoir cette nouvelle femme","""<s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s>""""]"""
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_26,"""rielle","""<s> [INST] Voici un résumé des évènements d'un roman",""" [/INST] . J'aime. Je me suis rendu dans une foire pour trouver un enfant comme vous.  Voilà le résumé des trois phrases du livre.  Clément","""ières petites. Nous nous réunirons à trois au château d'Ancre avec deux ou trois amis"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_281,"""riel la château abandonné en Gascogne sous le règne de Louis XIII","""<s> [/INST] La scène se déroule dans un château abandonné en Gascogne","""En un château en ruine","""e 25 "
1887_Pont-Jest-Rene-de_Le-Cas-du-Docteur-Plemen.txt_chunk_143,"""ries en Paris","""<s> [INST] Voici le texte",""" [1](#note1)[/INST] Le roman","""<s> [/INST] Cet épisode se déroule à Paris et à Philadelphie"
1893_Feval-Paul-fils_les-suites-de-lagardere_1-la-jeunesse-du-bossu.txt_chunk_78,"""rielle","""<s> [INST] Quester du texte que je vous ai donné","""<s> [/INST] 1. L'héritage du prince Frédéric-Charles-Henri de Gonzague-Mantoue et duc de Guastalla est l'objet d'une bagarre politique et amoureuse d'une part","""<s><s><s> [/INST] ée retour du fils Antoine de Peyrolles par son frère Charles-Ferdinand IV et de René de Lagard [/INST] ére"
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_29,"""INST]</s>rières","""<s><s> [/INST] monseur. c’était une de ces femmes qui",""" [/INST] à passer à tout a coup ! et puisque je suis à vous",""" [/INST] les prochaines pages une telle perversité. — Votre père"
1876_Boisgobey-Fortune-du_L-Omnibus-du-diable.txt_chunk_17,"""ol : 1. Une baronne se rend au mont-de-piété de Paris pour s'emprunter de fonds ","""<s><s> [/INST] voici enfin le résumé de ce qui sera arrivé dans les prochaines pages. Un mystérieux individu enquête","""<s><s> [/INST] ","""<s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s>""""]"""
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_174,"""ois phrases.[/INST]</s>\n\nLe livre """"Songe et Reveil des Ombres"""" met en exposition des faits maritimes d\'intérêt public qui provoquent une controverse internationalale dans les années 1860","""<s> [/INST] Les personnes partent pour une expédition sous-marine avec le capitaine Nemo. Ils découvrent un monde sous-marin riche en fauna et flore et s'embarquent pour traquer un mystérieux narval géant. Ils restent un an à bord du Nautilus avant d'en finir au bout de deux ans. Ils se doutent très vite qu'ils sont""""]""","""<s> [/INST] . Le capitaine Nemo a mené le Nautilus sur deux îles disparues de La Pérouse","""<s> [/INST] En 1870"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_235,"""ries d'une famille déchue",""" [/INST] Ce texte décrit les avancées d’un comédien solitaire","""<s> [INST] A partir de ce résumé","""<s><s><s><s> [/INST] Écrites par Marcel Proust"
1887_Pont-Jest-Rene-de_Le-Cas-du-Docteur-Plemen.txt_chunk_174,"""elles et la gouvernante","""<s> [/INST] L'intrigue prend lieu à Paris","""<s><s> [/INST] . Jouissez-vous beaucoup ici\xa0?  —\xa0Je ne mange pas dans cette ville.  —\xa0Le pape\xa0?  —\xa0Non","""<s> [/INST] le médecin légiste et des témoins clairvoyants ont découvert plusieurs preuves prouvant l’improbabilité de l’interprétation de miss summer"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_75,""" Le roman dépeint un château abandonné en Gascogne pendant le règne de Louis XIII","""<s> [INST] Voici une introduction au chapitre onze de la Légende grecque de Jacques II. Le mariage de la fille de l’archiprêtre a fait connaître le père de ses filles et celle-ci s’est mariée avec Lysander. Or","""<s> [INST] 12. (V) La vie au château. Là","""<s> [INST] Avez-vous compris l’extrait et si les trois phrases sont à mettre ensemble? Tenez un récit complet"
1876_Boisgobey-Fortune-du_L-Omnibus-du-diable.txt_chunk_63,"""rair des retracés de Marcel de Colorado","""<s> [/INST] Ce roman fait écho à des événements historiques tels que les émeutes de la rue de la Palme",""" [/INST] Des intrigues de meurtre et de vol se déroulent autour d’un mont-de-piété de Paris qui accueille un clientèle variée. La disparition de Marcel de Color se produit peu après. Il s’agit de découvrir de sérieux soupçons à son égard qui ont abouti à son arrestation. Toutefois","""<s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s>INST] on commence par une fête qui se déroule à Paris. Les acteurs de la pièce ont fini de jouer"
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_11,"""En 1872","""<s> [/INST] Les navires d'observations se trouvent en bise sur un monstre marin géant et les navires de New York","""<s> [/INST] ",""" [/INST] Voici un résumé des événements d [/INST] un roman"
1876_Boisgobey-Fortune-du_L-Omnibus-du-diable.txt_chunk_104,"""En 1850","""<s> [INST] Avec le résumé","""<s> [INST] INFORMATIONS VIDÉO\n /******/\nLe grand chien blanc a disparu. La bande de l’Océanic a été contrôlée","""<s> [/INST] Ce livre est un récit d’intrigue dans le milieu financier"
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_236,"""réf4d: Là-dessus","""<s> [/INST] 1. Le narrateur se retrouve à Paris en 1825","""� de l'Affaire Taburet 258 \xa0» \xa0» \xa0» \xa0» \xa0» \xa0» \xa0» \xa0» \xa0» \xa0» \xa0» \xa0» \xa0» \xa0» \xa0» \xa0» \xa0»  [/INST] Le « résumé » proposé au début du texte est fort incomplet",""" [/INST\n [/INST] Voici un résumé des évènements de 3 pages"
1893_Feval-Paul-fils_les-suites-de-lagardere_1-la-jeunesse-du-bossu.txt_chunk_157,""" phrases.[/INST]</s> 2. La mort du duc de Guastalla a désordonné la héritage du duché à la suite d\'une lutte de pouvoir entre différentes factions. Dans ce contexte","""s><s> [/INST] Le retour du fils Antoine de Peyrolles est vue par la cour comme un moyen de trouver les moyens d’éludre au duc et se diriger contre un adversaire qui","""s><s> [/INST] ite\xa0: Dans cette ville imaginaires","""s>ole ?— L’éclat d’ [/INST] ses traits lui fut d’une façon décisive "
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_54,"""riel\n\nLa narration suit le parcours d'un groupe d'amis qui s'affrontent à des problèmes personnels","""<s> [INST] Ce récit se termine pour le moment ici. il va se prolonger. laisse parler.«Alors la rumeur de l'assassinat fait sensation. la première chancellerie qui a eu sa preuve sur l'affaire du bonhomme Destroy a été celle des procureurs des Bons-Enfants de Paris qui ont le 9 mai 1843 rendu une déclaration""""]""","""<s> [/INST] on s'est rencontré trois jours auparavant dans la rue… ça lui semble presque impossible de n'avoir pas pu apercevoir de cette lumière","""ins"
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_57,"""ires de la controverse internationale à propos du découverte de créatures marines gigantesques par observation de navires","""<s> [/INST] Après avoir fait le tour de la terre","""<s> [/INST] On part à la recherche d'une caroube géante",""" [/INST] Le capitaine Nemo et son équipage ont découvert des traces de monstrueux narvaux sur un autre monde. Pendant la recherche "
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_193,"""e - Albert","""<s> [/INST] Eh bien ! dit-il","""<s> [/INST] Le livre raconte le décès d\xa0une femme d'une ville française et le meurtre d'un homme survenu d\xa0une nuit. La police est mis sur la trace d'une des victimes. Sur la base d'une témoignage anonyme","""<s> [/INST] Le village de La Jonchère est éclairé sur les trahisons du marié Lerouge et du valet de la veuve Lerouge. Il reste un énigmatique enfant qui a écouté"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_352,"""r dans les prochaines pages. Sois concis en trois phrases.[/INST]</s>risent enfin leur amour.\n\nOn parle ensuite de Zerbine","""<s> [/INST] cis en trois phrases. la faveur de l’un peut-être n’aura-t-elle pas duré moins de douze heures. en effet","""<s> [/INST] Ce résumé a été fourni par le robot Poule","""riel  A mon seul égard"
